adjudication_id,repo,tool,category,severity_reported,cvss_reported,cve,cwe,file,line_start,message,first_run_id,seen_in_runs,seen_post_remediation,review_status,true_positive,confirmed_severity,remediation_required,exploitability_notes,reviewer,review_date,adjudication_notes,post_remediation_runs,reviewer_id,review_status,true_positive,confirmed_severity,evidence_type,remediation_required,exploitability_assessment,review_date,review_notes
ADJ-00027,external_nodegoat,trivy,sca,medium,6.5,GHSA-c3m8-x3cg-qm2c,,package-lock.json,,Configuration Override in helmet-csp,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00028,external_nodegoat,trivy,sca,high,7.5,CVE-2021-3820,,package-lock.json,,inflect vulnerable to Inefficient Regular Expression Complexity,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00029,external_nodegoat,trivy,sca,high,9.8,CVE-2020-7788,,package-lock.json,,nodejs-ini: Prototype pollution via malicious INI file,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00030,external_nodegoat,trivy,sca,high,7.5,CVE-2019-20149,,package-lock.json,,nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00031,external_nodegoat,trivy,sca,high,7.5,CVE-2017-16114,,package-lock.json,,The marked module is vulnerable to a regular expression denial of serv ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00032,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21680,,package-lock.json,,marked: regular expression block.def may lead Denial of Service,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00033,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21681,,package-lock.json,,marked: regular expression inline.reflinkSearch may lead Denial of Service,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00034,external_nodegoat,trivy,sca,medium,6.1,CVE-2016-10531,,package-lock.json,,marked is an application that is meant to parse and compile markdown.  ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00035,external_nodegoat,trivy,sca,medium,6.1,CVE-2017-1000427,,package-lock.json,,marked version 0.3.6 and earlier is vulnerable to an XSS attack in the ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00036,external_nodegoat,trivy,sca,medium,7.5,CVE-2018-25110,,package-lock.json,,Marked prior to version 0.3.17 is vulnerable to a Regular Expression D ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00037,external_nodegoat,trivy,sca,medium,5.5,NSWG-ECO-101,,package-lock.json,,Sanitization bypass using HTML Entities,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00038,external_nodegoat,trivy,sca,medium,5.3,CVE-2024-4067,,package-lock.json,,micromatch: vulnerable to Regular Expression Denial of Service,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00039,external_nodegoat,trivy,sca,high,7.5,CVE-2022-3517,,package-lock.json,,nodejs-minimatch: ReDoS via the braceExpand function,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00040,external_nodegoat,trivy,sca,high,7.5,CVE-2026-26996,,package-lock.json,,minimatch: minimatch: Denial of Service via specially crafted glob patterns,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00041,external_nodegoat,trivy,sca,high,5.9,CVE-2026-27903,,package-lock.json,,minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00042,external_nodegoat,trivy,sca,high,6.5,CVE-2026-27904,,package-lock.json,,minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00043,external_nodegoat,trivy,sca,critical,9.8,CVE-2021-44906,,package-lock.json,,minimist: prototype pollution,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00044,external_nodegoat,trivy,sca,medium,5.6,CVE-2020-7598,,package-lock.json,,nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00045,external_nodegoat,trivy,sca,critical,9.8,CVE-2019-10746,,package-lock.json,,nodejs-mixin-deep: prototype pollution in function mixin-deep,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00046,external_nodegoat,trivy,sca,high,8.0,GHSA-mh5c-679w-hh4r,,package-lock.json,,Denial of Service in mongodb,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00047,external_nodegoat,trivy,sca,medium,5.3,CVE-2017-20162,,package-lock.json,,Vercel ms Inefficient Regular Expression Complexity vulnerability,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00048,external_nodegoat,trivy,sca,high,7.5,CVE-2022-21803,,package-lock.json,,nconf: Prototype pollution in memory store,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00049,external_nodegoat,trivy,sca,low,3.4,CVE-2025-7339,,package-lock.json,,on-headers: on-headers vulnerable to http response header manipulation,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00050,external_nodegoat,trivy,sca,high,5.3,CVE-2024-45296,,package-lock.json,,path-to-regexp: Backtracking regular expressions cause ReDoS,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00051,external_nodegoat,trivy,sca,high,5.3,CVE-2024-52798,,package-lock.json,,path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00052,external_nodegoat,trivy,sca,high,5.3,CVE-2026-4867,,package-lock.json,,path-to-regexp: path-to-regexp: Denial of Service via catastrophic backtracking from malformed URL parameters,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00053,external_nodegoat,trivy,sca,high,7.5,CVE-2022-24999,,package-lock.json,,"express: ""qs"" prototype poisoning causes the hang of the node process",20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00054,external_nodegoat,trivy,sca,medium,7.5,CVE-2025-15284,,package-lock.json,,qs: qs: Denial of Service via improper input validation in array parsing,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00055,external_nodegoat,trivy,sca,high,7.5,CVE-2022-25883,,package-lock.json,,nodejs-semver: Regular expression denial of service,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00056,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43799,,package-lock.json,,send: Code Execution Vulnerability in Send Library,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00057,external_nodegoat,trivy,sca,low,4.7,CVE-2024-43800,,package-lock.json,,serve-static: Improper Sanitization in serve-static,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00058,external_nodegoat,trivy,sca,critical,9.8,CVE-2019-10747,,package-lock.json,,nodejs-set-value: prototype pollution in function set-value,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00059,external_nodegoat,trivy,sca,high,9.8,CVE-2021-23440,,package-lock.json,,nodejs-set-value: type confusion allows bypass of CVE-2019-10747,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00060,external_nodegoat,trivy,sca,high,7.5,CVE-2023-25345,,package-lock.json,,Arbitrary local file read vulnerability during template rendering ,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00061,external_nodegoat,trivy,sca,high,8.1,CVE-2021-32803,,package-lock.json,,nodejs-tar: Insufficient symlink protection allowing arbitrary file creation and overwrite,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00062,external_nodegoat,trivy,sca,high,8.1,CVE-2021-32804,,package-lock.json,,nodejs-tar: Insufficient absolute path sanitization allowing arbitrary file creation and overwrite,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00063,external_nodegoat,trivy,sca,high,8.6,CVE-2021-37701,,package-lock.json,,nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00064,external_nodegoat,trivy,sca,high,8.6,CVE-2021-37712,,package-lock.json,,nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00065,external_nodegoat,trivy,sca,high,8.6,CVE-2021-37713,,package-lock.json,,nodejs-tar: Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00066,external_nodegoat,trivy,sca,high,6.1,CVE-2026-23745,,package-lock.json,,node-tar: tar: node-tar: Arbitrary file overwrite and symlink poisoning via unsanitized linkpaths in archives,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00067,external_nodegoat,trivy,sca,high,5.9,CVE-2026-23950,,package-lock.json,,node-tar: tar: node-tar: Arbitrary file overwrite via Unicode path collision race condition,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00068,external_nodegoat,trivy,sca,high,8.2,CVE-2026-24842,,package-lock.json,,node-tar: tar: node-tar: Arbitrary file creation via path traversal bypass in hardlink security check,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00069,external_nodegoat,trivy,sca,high,7.1,CVE-2026-26960,,package-lock.json,,node-tar: node-tar: Arbitrary file read/write via malicious archive hardlink creation,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00070,external_nodegoat,trivy,sca,high,6.3,CVE-2026-29786,,package-lock.json,,node-tar: hardlink path traversal via drive-relative linkpath,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00071,external_nodegoat,trivy,sca,high,5.5,CVE-2026-31802,,package-lock.json,,tar: tar: File overwrite via drive-relative symlink traversal,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00072,external_nodegoat,trivy,sca,medium,6.5,CVE-2024-28863,,package-lock.json,,node-tar: denial of service while parsing a tar file due to lack of folders depth validation,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00073,external_nodegoat,trivy,sca,medium,5.5,CVE-2026-53655,,package-lock.json,,node-tar: node-tar: File smuggling due to inconsistent tar archive parsing,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00074,external_nodegoat,trivy,sca,medium,7.5,CVE-2015-8858,,package-lock.json,,The uglify-js package before 2.6.0 for Node.js allows attackers to cau ...,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00075,external_nodegoat,trivy,sca,critical,7.2,CVE-2021-23358,,package-lock.json,,nodejs-underscore: Arbitrary code execution via the template function,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00076,external_nodegoat,trivy,sca,high,5.9,CVE-2026-27601,,package-lock.json,,Underscore.js: Underscore.js: Denial of Service via recursive data structures in flatten and isEqual functions,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
ADJ-00077,external_nodegoat,trivy,sca,low,2.5,NSWG-ECO-445,,package-lock.json,,Out-of-bounds Read,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,true,pending,,,,,,,,2,reviewer_a,pending,,,,,,,
ADJ-00078,external_nodegoat,trivy,sca,high,9.8,CVE-2020-7774,,package-lock.json,,nodejs-y18n: prototype pollution vulnerability,20260714T115253363801Z_C1_NonBlockingScanning_external_nodegoat_r1,3,false,pending,,,,,,,,0,reviewer_a,pending,,,,,,,
