finding_id,repo,branch,commit_intro,commit_fix,file,line_start,line_end,type,cwe,cve,tool_expected,severity,cvss,source,expected_detection,expected_remediation,match_message_contains,notes
GT-SCA-DJANGO-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-controlled_api_m,controlled_api_m,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SAST-XSS-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-SCA-DJANGO-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-controlled_api_l,controlled_api_l,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SAST-XSS-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-SCA-DJANGO-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-controlled_api_xl,controlled_api_xl,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SAST-XSS-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,app.py,14,16,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-SAST-SQLI-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,app.py,19,25,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-SCA-DJANGO-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin used for scanner validation
GT-SECRET-AWS-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,.env.test,2,3,secret,,,gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-IAC-DOCKER-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,Dockerfile,5,6,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-controlled_api_xxl,controlled_api_xxl,controlled_multi_layer,local,local,k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-INJECTED-SAST-XSS-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/app.py,13,15,sast,CWE-79,,semgrep,high,7.4,injected_external,true,true,,Injected reflected unescaped query in real-repository copy
GT-INJECTED-SAST-SQLI-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/app.py,18,24,sast,CWE-89,,semgrep,high,8.1,injected_external,true,true,,Injected string-formatted SQL query in real-repository copy
GT-INJECTED-SCA-DJANGO-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected_external,true,true,,Injected vulnerable dependency pin in real-repository copy
GT-INJECTED-SECRET-AWS-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/.env.test,2,3,secret,,,gitleaks,critical,9.0,injected_external,true,true,,Injected fake AWS documentation key in real-repository copy
GT-INJECTED-IAC-DOCKER-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/Dockerfile,5,6,iac,,,trivy,medium,5.0,injected_external,true,true,Image user should not be 'root',Injected root Docker runtime user in real-repository copy
GT-INJECTED-IAC-K8S-001-injected_requests,injected_requests,injected_external_real_base,local,local,secflowops_injected/k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected_external,true,true,Privileged,Injected privileged Kubernetes container in real-repository copy
GT-INJECTED-SAST-XSS-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/app.py,13,15,sast,CWE-79,,semgrep,high,7.4,injected_external,true,true,,Injected reflected unescaped query in real-repository copy
GT-INJECTED-SAST-SQLI-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/app.py,18,24,sast,CWE-89,,semgrep,high,8.1,injected_external,true,true,,Injected string-formatted SQL query in real-repository copy
GT-INJECTED-SCA-DJANGO-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected_external,true,true,,Injected vulnerable dependency pin in real-repository copy
GT-INJECTED-SECRET-AWS-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/.env.test,2,3,secret,,,gitleaks,critical,9.0,injected_external,true,true,,Injected fake AWS documentation key in real-repository copy
GT-INJECTED-IAC-DOCKER-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/Dockerfile,5,6,iac,,,trivy,medium,5.0,injected_external,true,true,Image user should not be 'root',Injected root Docker runtime user in real-repository copy
GT-INJECTED-IAC-K8S-001-injected_flask,injected_flask,injected_external_real_base,local,local,secflowops_injected/k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected_external,true,true,Privileged,Injected privileged Kubernetes container in real-repository copy
GT-INJECTED-SAST-XSS-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/app.py,13,15,sast,CWE-79,,semgrep,high,7.4,injected_external,true,true,,Injected reflected unescaped query in real-repository copy
GT-INJECTED-SAST-SQLI-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/app.py,18,24,sast,CWE-89,,semgrep,high,8.1,injected_external,true,true,,Injected string-formatted SQL query in real-repository copy
GT-INJECTED-SCA-DJANGO-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected_external,true,true,,Injected vulnerable dependency pin in real-repository copy
GT-INJECTED-SECRET-AWS-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/.env.test,2,3,secret,,,gitleaks,critical,9.0,injected_external,true,true,,Injected fake AWS documentation key in real-repository copy
GT-INJECTED-IAC-DOCKER-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/Dockerfile,5,6,iac,,,trivy,medium,5.0,injected_external,true,true,Image user should not be 'root',Injected root Docker runtime user in real-repository copy
GT-INJECTED-IAC-K8S-001-injected_express,injected_express,injected_external_real_base,local,local,secflowops_injected/k8s/deployment.yaml,18,20,iac,,,trivy,high,7.5,injected_external,true,true,Privileged,Injected privileged Kubernetes container in real-repository copy
GT-SCA-DJANGO-001-full_alpha_vulnerable_dependency,full_alpha_vulnerable_dependency,vulnerable_dependency,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_alpha_fake_secret,full_alpha_fake_secret,fake_secret,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_alpha_sast_reflected_xss,full_alpha_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_alpha_sast_reflected_xss,full_alpha_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_alpha_sast_sql_injection,full_alpha_sast_sql_injection,sast_sql_injection,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_alpha_docker_misconfiguration,full_alpha_docker_misconfiguration,docker_misconfiguration,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_alpha_k8s_misconfiguration,full_alpha_k8s_misconfiguration,k8s_misconfiguration,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SCA-DJANGO-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_alpha_multi_layer,full_alpha_multi_layer,multi_layer,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SCA-DJANGO-001-full_beta_vulnerable_dependency,full_beta_vulnerable_dependency,vulnerable_dependency,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_beta_fake_secret,full_beta_fake_secret,fake_secret,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_beta_sast_reflected_xss,full_beta_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_beta_sast_reflected_xss,full_beta_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_beta_sast_sql_injection,full_beta_sast_sql_injection,sast_sql_injection,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_beta_docker_misconfiguration,full_beta_docker_misconfiguration,docker_misconfiguration,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_beta_k8s_misconfiguration,full_beta_k8s_misconfiguration,k8s_misconfiguration,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SCA-DJANGO-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_beta_multi_layer,full_beta_multi_layer,multi_layer,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SCA-DJANGO-001-full_gamma_vulnerable_dependency,full_gamma_vulnerable_dependency,vulnerable_dependency,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_gamma_fake_secret,full_gamma_fake_secret,fake_secret,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_gamma_sast_reflected_xss,full_gamma_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_gamma_sast_reflected_xss,full_gamma_sast_reflected_xss,sast_reflected_xss,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_gamma_sast_sql_injection,full_gamma_sast_sql_injection,sast_sql_injection,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_gamma_docker_misconfiguration,full_gamma_docker_misconfiguration,docker_misconfiguration,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_gamma_k8s_misconfiguration,full_gamma_k8s_misconfiguration,k8s_misconfiguration,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
GT-SCA-DJANGO-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,requirements.txt,1,1,sca,,CVE-2019-19844,trivy,critical,9.8,injected,true,true,,Vulnerable dependency pin
GT-SECRET-AWS-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,.env.test,1,1,secret,,,trivy|gitleaks,critical,9.0,injected,true,true,,Fake documented AWS test key
GT-SAST-XSS-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-79,,semgrep,high,7.4,injected,true,true,,Reflected unescaped query in HTML response
GT-DAST-XSS-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,app.py,1,1,dast,CWE-79,,zap,high,7.4,injected,true,true,Cross Site Scripting,DAST target endpoint /search?q=<script>alert(1)</script>
GT-SAST-SQLI-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,app.py,1,1,sast,CWE-89,,semgrep,high,8.1,injected,true,true,,String formatted SQL query
GT-IAC-DOCKER-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,Dockerfile,1,1,iac,,,trivy,medium,5.0,injected,true,true,,Container runs as root
GT-IAC-K8S-001-full_gamma_multi_layer,full_gamma_multi_layer,multi_layer,local,local,k8s/deployment.yaml,1,1,iac,,,trivy,high,7.5,injected,true,true,,Privileged Kubernetes container
